Ordered Date,Internal ID,OC Order ID,OC Order Display ID,ofo_slug,ofo_status,OC Brand,OC Store,Currency,OC Subtotal,OC Tip,other_amount,processing_fee,OC Tax,OC Tax Withheld,Tax Delta,adjustment,commission,net_payout,order_issue_types,order_issue_details,cancellation_state,cancellation_reason,cancelled_at,order_status,fulfillment_mode,fulfillment_state,store_id,oc_discount,Internal ID__1,Transaction Date,Payout Date,Payout ID,Platform,TransactionID,Brand,Store,types,currency_code,Subtotal,Tips,Other,Processing Fee,Tax,Tax Withheld,Promos,Adjustment,Merchant Refund,Commission,Order Payout,Final Payout,Tax Delta__1,hifi Order Status,Subtotal Delta,Tips Detla,Other Delta,Processing_fee Delta,Tax Delta,Tax Withheld Delta,Tax Due Delta,Adjustment Delta,Commission Delta,Net Payout Delta
2022-09-01,60d2d69a-0341-4266-b86c-a8e38fc1cd20,85328363-8ea5-4323-86c5-b3e9c589bce0,9BCE0,ubereats,OFO_STATUS_FULFILLED,Little Mint,The Greenwich Social NYC - Orbital Kitchens,USD,31.54,,0,-0.84,2.18,0,2.18,0,-5.61,23.8,null,null,,,,OFO_STATUS_FULFILLED,FULFILLMENT_MODE_OFO_DELIVERY,FULFILLMENT_FULFILLED,6c839e9b-f99e-4a9a-b43b-74badb82ffaf,-6.95,60d2d69a-0341-4266-b86c-a8e38fc1cd20,2022-09-01,2022-09-06,REYMUWKX3SW7PS5,ubereats,85328363-8ea5-4323-86c5-b3e9c589bce0,Little Mint,The Greenwich Social NYC - Orbital Kitchens,ORDER_PAYMENT,USD,31.54,,,-0.84,2.18,0,-6.95,,,-5.61,23.8,23.8,2.18,Completed,0,0,0,0,0,0,0,0,0,0
2022-09-01,dfb47c58-3be1-4de4-b8c6-f8574c0eec6f,e8237109-7591-42c3-95f1-56592a44f943,4F943,ubereats,OFO_STATUS_FULFILLED,Astro Burger,The Greenwich Social NYC - Orbital Kitchens,USD,15.78,3.06,3.25,0,1.67,0,1.41,0,-0.79,22.71,null,null,,,,OFO_STATUS_FULFILLED,FULFILLMENT_MODE_RESTAURANT_DELIVERY,FULFILLMENT_FULFILLED,d50f1255-476b-4c95-a69e-268078d430eb,,dfb47c58-3be1-4de4-b8c6-f8574c0eec6f,2022-09-01,2022-09-06,XFDFNWB4EXGYPSK,ubereats,e8237109-7591-42c3-95f1-56592a44f943,Astro Burger,The Greenwich Social NYC - Orbital Kitchens,ORDER_PAYMENT,USD,15.78,3.06,3.25,,1.41,0,,,,-0.79,22.71,22.71,1.41,Completed,0,0,0,0,-0.26,0,0,0,0,0
2022-09-01,b24f5291-ff95-48ab-9053-335c5bc068af,e9f07baf-27f3-42b9-b3f4-ef61fa1ffa05,FFA05,ubereats,OFO_STATUS_FULFILLED,Little Mint,The Greenwich Social NYC - Orbital Kitchens,USD,22.8,1,3.25,0,2.29,0,2.03,0,-1.82,27.26,null,null,,,,OFO_STATUS_FULFILLED,FULFILLMENT_MODE_RESTAURANT_DELIVERY,FULFILLMENT_FULFILLED,6c839e9b-f99e-4a9a-b43b-74badb82ffaf,,b24f5291-ff95-48ab-9053-335c5bc068af,2022-09-01,2022-09-06,REYMUWKX3SW7PS5,ubereats,e9f07baf-27f3-42b9-b3f4-ef61fa1ffa05,Little Mint,The Greenwich Social NYC - Orbital Kitchens,ORDER_PAYMENT,USD,22.8,1,3.25,,2.03,0,,,,-1.82,27.26,27.26,2.03,Completed,0,0,0,0,-0.26,0,0,0,0,0
2022-09-01,cb51cac4-28fa-499c-9ec4-ad3b7465f750,eacc0f41-29b3-11ed-b960-f31753135630,336619967877014,grubhub,OFO_STATUS_NEW,Little Mint,The Greenwich Social NYC - Orbital Kitchens,USD,51.25,1,0,-1.97,4.37,0,4.37,0,-2.46,50.18,null,null,,,,OFO_STATUS_FULFILLED,FULFILLMENT_MODE_RESTAURANT_DELIVERY,FULFILLMENT_PENDING,6c839e9b-f99e-4a9a-b43b-74badb82ffaf,-10,cb51cac4-28fa-499c-9ec4-ad3b7465f750,2022-09-01,2022-09-07,D-AQAAAAAAJpUBAAABgyCeeIAAAAGDFlHAgAEAAAGDEStkgA,grubhub,BwEAAAAAACaVAerMD0ApsxHtuWDzF1MTVjA,Little Mint,The Greenwich Social NYC - Orbital Kitchens,ORDER_PAYMENT,USD,51.25,1,,-1.97,4.37,0,,,,-2.46,50.18,50.18,4.37,PCI_SINGLE_ONLINE,0,0,0,0,0,0,0,0,0,0
2022-09-01,576a6036-e786-49f5-88ec-94e88ab076a3,0efddd94-a563-4359-a40a-7422443cd64e,CD64E,ubereats,OFO_STATUS_NEW,Little Mint,The Greenwich Social NYC - Orbital Kitchens,USD,27.09,,0,-0.81,2.4,0,2.4,0,-5.42,23.26,null,null,,,,OFO_STATUS_FULFILLED,FULFILLMENT_MODE_OFO_DELIVERY,FULFILLMENT_PENDING,6c839e9b-f99e-4a9a-b43b-74badb82ffaf,,576a6036-e786-49f5-88ec-94e88ab076a3,2022-09-01,2022-09-06,REYMUWKX3SW7PS5,ubereats,0efddd94-a563-4359-a40a-7422443cd64e,Little Mint,The Greenwich Social NYC - Orbital Kitchens,ORDER_PAYMENT,USD,27.09,,,-0.81,2.4,0,,,,-5.42,23.26,23.26,2.4,Completed,0,0,0,0,0,0,0,0,0,0
2022-09-01,439e59e3-ac91-40f2-b36e-c56b6ef3bbd3,bfde3dd6-cb19-4545-bf1f-114051bcf442,CF442,ubereats,OFO_STATUS_FULFILLED,Little Mint,The Greenwich Social NYC - Orbital Kitchens,USD,22.9,4,3.25,0,2.3,0,2.04,0,-1.83,30.36,null,null,,,,OFO_STATUS_FULFILLED,FULFILLMENT_MODE_RESTAURANT_DELIVERY,FULFILLMENT_FULFILLED,6c839e9b-f99e-4a9a-b43b-74badb82ffaf,,439e59e3-ac91-40f2-b36e-c56b6ef3bbd3,2022-09-01,2022-09-06,REYMUWKX3SW7PS5,ubereats,bfde3dd6-cb19-4545-bf1f-114051bcf442,Little Mint,The Greenwich Social NYC - Orbital Kitchens,ORDER_PAYMENT,USD,22.9,4,3.25,,2.04,0,,,,-1.83,30.36,30.36,2.04,Completed,0,0,0,0,-0.26,0,0,0,0,0
2022-09-01,6697df9d-c0ad-45b3-833c-dacb4f391236,bb55c48b-6091-4ba4-bb4b-fc4f7e2c869e,C869E,ubereats,OFO_STATUS_FULFILLED,Astro Burger,The Greenwich Social NYC - Orbital Kitchens,USD,17.47,,0,-0.52,1.55,0,1.55,0,-2.97,15.53,null,null,,,,OFO_STATUS_FULFILLED,FULFILLMENT_MODE_OFO_DELIVERY,FULFILLMENT_FULFILLED,d50f1255-476b-4c95-a69e-268078d430eb,,6697df9d-c0ad-45b3-833c-dacb4f391236,2022-09-01,2022-09-06,XFDFNWB4EXGYPSK,ubereats,bb55c48b-6091-4ba4-bb4b-fc4f7e2c869e,Astro Burger,The Greenwich Social NYC - Orbital Kitchens,ORDER_PAYMENT,USD,17.47,,,-0.52,1.55,0,,,,-2.97,15.53,15.53,1.55,Completed,0,0,0,0,0,0,0,0,0,0
2022-09-01,752ab9ff-3386-477f-a110-62badd16a85c,40c43616-29ba-11ed-9048-a5f0db23f451,986119963931910,grubhub,OFO_STATUS_NEW,Astro Burger,The Greenwich Social NYC - Orbital Kitchens,USD,26.57,6,0,-1.46,2.63,0,2.63,0,-1.48,35.25,null,null,,,,OFO_STATUS_FULFILLED,FULFILLMENT_MODE_RESTAURANT_DELIVERY,FULFILLMENT_PENDING,d50f1255-476b-4c95-a69e-268078d430eb,-3.26,752ab9ff-3386-477f-a110-62badd16a85c,2022-09-01,2022-09-07,D-AQAAAAAAKL1-AAABgyCeeIAAAAGDFlHAgAEAAAGDEStkgA,grubhub,BwEAAAAAACi9fkDENhUpuhHtkEil8Nsj9FE,Astro Burger,The Greenwich Social NYC - Orbital Kitchens,ORDER_PAYMENT,USD,26.57,6,,-1.46,2.63,0,,,,-1.48,35.25,35.25,2.63,PCI_SINGLE_ONLINE,0,0,0,0,0,0,0,0,0,0
2022-09-01,f2580e44-d249-4cc9-9580-873a00a4269e,9fb2b49e-7389-4c79-b5a5-81be412dcd74,DCD74,ubereats,OFO_STATUS_NEW,Little Mint,The Greenwich Social NYC - Orbital Kitchens,USD,22.9,,0,-0.69,2.03,0,2.03,0,-4.58,19.66,null,null,,,,OFO_STATUS_FULFILLED,FULFILLMENT_MODE_OFO_DELIVERY,FULFILLMENT_PENDING,6c839e9b-f99e-4a9a-b43b-74badb82ffaf,,f2580e44-d249-4cc9-9580-873a00a4269e,2022-09-01,2022-09-06,REYMUWKX3SW7PS5,ubereats,9fb2b49e-7389-4c79-b5a5-81be412dcd74,Little Mint,The Greenwich Social NYC - Orbital Kitchens,ORDER_PAYMENT,USD,22.9,,,-0.69,2.03,0,,,,-4.58,19.66,19.66,2.03,Completed,0,0,0,0,0,0,0,0,0,0
2022-09-01,149df8c8-7535-4770-96c5-d2b0114cc216,894e2ebd-4a4f-41bb-bb6d-22b9fccdd13c,DD13C,ubereats,OFO_STATUS_FULFILLED,Little Mint,The Greenwich Social NYC - Orbital Kitchens,USD,48.55,,0,-1.34,3.6,0,3.6,0,-8.92,37.92,null,null,,,,OFO_STATUS_FULFILLED,FULFILLMENT_MODE_OFO_DELIVERY,FULFILLMENT_FULFILLED,6c839e9b-f99e-4a9a-b43b-74badb82ffaf,-7.95,149df8c8-7535-4770-96c5-d2b0114cc216,2022-09-01,2022-09-06,REYMUWKX3SW7PS5,ubereats,894e2ebd-4a4f-41bb-bb6d-22b9fccdd13c,Little Mint,The Greenwich Social NYC - Orbital Kitchens,ORDER_PAYMENT,USD,48.55,,,-1.34,3.6,0,-7.95,,,-8.92,37.92,37.92,3.6,Completed,0,0,0,0,0,0,0,0,0,0
